"Name","State","District","Party","Room","Phone","House Positions","Committee Assignment"
"Poe, Ted","Texas","2","R","2132 RHOB","202-225-6565","",""
"Johnson, Sam","Texas","3","R","2304 RHOB","202-225-4201","",""
"Ratcliffe, John","Texas","4","R","325 CHOB","202-225-6673","",""
"Hensarling, Jeb","Texas","5","R","2228 RHOB","202-225-3484","","Financial Services"
"Barton, Joe","Texas","6","R","2107 RHOB","202-225-2002","",""
"Culberson, John","Texas","7","R","2161 RHOB","202-225-2571","",""
"Brady, Kevin","Texas","8","R","1011 LHOB","202-225-4901","Chairman of Ways and Means","Ways and Means"
"Green, Al","Texas","9","D","2347 RHOB","202-225-7508","",""
"McCaul, Michael T.","Texas","10","R","2001 RHOB","202-225-2401","","Homeland Security"
"Conaway, K. Michael","Texas","11","R","2430 RHOB","202-225-3605","","Agriculture"
"Granger, Kay","Texas","12","R","1026 LHOB","202-225-5071","",""
"Thornberry, Mac","Texas","13","R","2208 RHOB","202-225-3706","","Armed Services"
"Weber, Randy","Texas","14","R","1708 LHOB","202-225-2831","",""
"Gonzalez, Vicente","Texas","15","D","113 CHOB","202-225-2531","",""
"O'Rourke, Beto","Texas","16","D","1330 LHOB","202-225-4831","",""
"Flores, Bill","Texas","17","R","2440 RHOB","202-225-6105","",""
"Jackson Lee, Sheila","Texas","18","D","2187 RHOB","202-225-3816","",""
"Arrington, Jodey","Texas","19","R","1029 LHOB","202-225-4005","",""
"Castro, Joaquin","Texas","20","D","1221 LHOB","202-225-3236","",""
"Smith, Lamar","Texas","21","R","2409 RHOB","202-225-4236","","Science, Space, and Technology"
"Olson, Pete","Texas","22","R","2133 RHOB","202-225-5951","",""
"Hurd, Will","Texas","23","R","317 CHOB","202-225-4511","",""
"Marchant, Kenny","Texas","24","R","2369 RHOB","202-225-6605","","Ethics"
"Williams, Roger","Texas","25","R","1323 LHOB","202-225-9896","",""
"Burgess, Michael","Texas","26","R","2336 RHOB","202-225-7772","","Rules"
"Farenthold, Blake","Texas","27","R","2331 RHOB","202-225-7742","",""
"Cuellar, Henry","Texas","28","D","2209 RHOB","202-225-1640","",""
"Green, Gene","Texas","29","D","2470 RHOB","202-225-1688","",""
"Johnson, Eddie Bernice","Texas","30","D","2468 RHOB","202-225-8885","",""
"Carter, John","Texas","31","R","2110 RHOB","202-225-3864","",""
"Sessions, Pete","Texas","32","R","2233 RHOB","202-225-2231","","Rules"
"Veasey, Marc","Texas","33","D","1519 LHOB","202-225-9897","",""
"Vela, Filemon","Texas","34","D","437 CHOB","202-225-9901","",""
"Doggett, Lloyd","Texas","35","D","2307 RHOB","202-225-4865","",""
"Babin, Brian","Texas","36","R","316 CHOB","202-225-1555","",""
"Bishop, Rob","Utah","1","R","123 CHOB","202-225-0453","","Natural Resources"
"Stewart, Chris","Utah","2","R","323 CHOB","202-225-9730","",""
"Chaffetz, Jason","Utah","3","R","2236 RHOB","202-225-7751","","Oversight and Government"
"Love, Mia","Utah","4","R","217 CHOB","202-225-3011","",""
"Welch, Peter","Vermont","10","D","2303 RHOB","202-225-4115","",""
"Plaskett, Stacey","Virgin Islands","10","D","331 CHOB","202-225-1790","",""
"Wittman, Robert J.","Virginia","1","R","2055 RHOB","202-225-4261","",""
"Taylor, Scott","Virginia","2","R","412 CHOB","202-225-4215","",""
"Scott, Robert C.","Virginia","3","D","1201 LHOB","202-225-8351","","Education and the Workforce"
"McEachin, A. Donald","Virginia","4","D","314 CHOB","202-225-6365","",""
"Garrett, Thomas","Virginia","5","R","415 CHOB","202-225-4711","",""
"Goodlatte, Bob","Virginia","6","R","2309 RHOB","202-225-5431","","Judiciary"
"Brat, Dave","Virginia","7","R","1628 LHOB","202-225-2815","",""
"Beyer, Don","Virginia","8","D","1119 LHOB","202-225-4376","",""
"Griffith, Morgan","Virginia","9","R","2202 RHOB","202-225-3861","",""
"Comstock, Barbara","Virginia","10","R","229 CHOB","202-225-5136","","House Administration"
"Connolly, Gerald E. ""Gerry""","Virginia","11","D","2238 RHOB","202-225-1492","",""
"DelBene, Suzan","Washington","1","D","2442 RHOB","202-225-6311","",""
"Larsen, Rick","Washington","2","D","2113 RHOB","202-225-2605","",""
"Beutler, Jaime Herrera","Washington","3","R","1107 LHOB","202-225-3536","",""
"Newhouse, Dan","Washington","4","R","1318 LHOB","202-225-5816","","Rules"
"McMorris Rodgers, Cathy","Washington","5","R","1314 LHOB","202-225-2006","Republican Conference Chair",""
"Kilmer, Derek","Washington","6","D","1520 LHOB","202-225-5916","",""
"Jayapal, Pramila","Washington","7","D","319 CHOB","202-225-3106","",""
"Reichert, David G.","Washington","8","R","1127 LHOB","202-225-7761","",""
"Smith, Adam","Washington","9","D","2264 RHOB","202-225-8901","",""
"Heck, Denny","Washington","10","D","425 CHOB","202-225-9740","",""
"McKinley, David","West Virginia","1","R","2239 RHOB","202-225-4172","",""
"Mooney, Alex","West Virginia","2","R","1232 LHOB","202-225-2711","",""
"Jenkins, Evan","West Virginia","3","R","1609 LHOB","202-225-3452","",""
"Ryan, Paul D.","Wisconsin","1","R","1233 LHOB","202-225-3031","Speaker of the House",""
"Pocan, Mark","Wisconsin","2","D","1421 LHOB","202-225-2906","",""
"Kind, Ron","Wisconsin","3","D","1502 LHOB","202-225-5506","",""
"Moore, Gwen","Wisconsin","4","D","2252 RHOB","202-225-4572","",""
"Sensenbrenner, F. James","Wisconsin","5","R","2449 RHOB","202-225-5101","",""
"Grothman, Glenn","Wisconsin","6","R","1217 LHOB","202-225-2476","",""
"Duffy, Sean P.","Wisconsin","7","R","2330 RHOB","202-225-3365","",""
"Gallagher, Mike","Wisconsin","8","R","1007 LHOB","202-225-5665","",""
"Cheney, Liz","Wyoming","10","R","416 CHOB","202-225-2311","","Rules"
